SentenceID,NumberOfWords,AverageSurprisalWithPunct,CorpusName
796,3,4.727289,pittcssa
798,5,4.3020258,pittcssa
799,3,3.790934,pittcssa
801,6,3.1383430000000003,pittcssa
802,13,2.916376876923077,pittcssa
803,17,3.65244408235294,pittcssa
804,15,3.119851293333333,pittcssa
805,3,3.4867410000000003,pittcssa
806,6,3.1383430000000003,pittcssa
807,13,2.916376876923077,pittcssa
808,5,2.58797632,pittcssa
809,3,4.501851,pittcssa
810,4,4.20419575,pittcssa
811,12,2.9726913166666673,pittcssa
812,4,2.278532,pittcssa
813,6,4.530548166666667,pittcssa
814,5,4.0835166,pittcssa
815,3,5.439274999999999,pittcssa
816,6,5.247592,pittcssa
817,3,6.035089333333334,pittcssa
818,3,6.153040000000001,pittcssa
819,4,4.590778,pittcssa
820,8,3.471178125,pittcssa
821,3,3.1300177666666666,pittcssa
822,3,4.1915233333333335,pittcssa
823,8,3.377397025,pittcssa
824,8,3.717146375,pittcssa
825,7,3.267155714285714,pittcssa
827,4,2.278532,pittcssa
828,10,4.2443829,pittcssa
829,4,4.976432249999999,pittcssa
830,9,4.311881555555555,pittcssa
831,3,4.2492643333333335,pittcssa
832,12,3.463030891666667,pittcssa
833,11,3.219248272727272,pittcssa
835,5,3.8110556000000004,pittcssa
836,15,3.4833366933333334,pittcssa
837,8,3.4491205,pittcssa
838,5,4.4255596,pittcssa
839,9,3.118291077777778,pittcssa
840,7,3.4920380000000004,pittcssa
842,16,3.6524054375,pittcssa
843,3,4.147795333333334,pittcssa
844,9,4.587364222222223,pittcssa
846,7,3.7886202857142854,pittcssa
847,5,3.5946999999999996,pittcssa
848,7,4.285812142857142,pittcssa
849,5,3.3989502000000003,pittcssa
850,4,4.808256,pittcssa
851,7,4.185405571428571,pittcssa
852,3,5.562186,pittcssa
853,7,2.496502871428571,pittcssa
854,5,3.9746697999999996,pittcssa
855,11,3.7152246909090905,pittcssa
856,15,3.838704606666667,pittcssa
857,9,3.633317333333333,pittcssa
858,14,3.3752987857142855,pittcssa
859,8,3.7131174125,pittcssa
862,4,2.278532,pittcssa
863,4,3.1002466000000006,pittcssa
864,25,3.3336432399999993,pittcssa
865,3,4.043188333333334,pittcssa
866,4,3.1422341,pittcssa
867,4,2.278532,pittcssa
868,5,3.0150001399999997,pittcssa
869,4,4.748768,pittcssa
870,5,3.8377712,pittcssa
871,12,3.5751407833333335,pittcssa
872,9,3.361861044444445,pittcssa
873,5,3.4717118,pittcssa
874,8,4.128328125,pittcssa
875,9,3.6442864444444445,pittcssa
876,4,2.6002278750000003,pittcssa
877,3,2.881422333333333,pittcssa
878,10,3.9622294100000004,pittcssa
879,29,3.041427003448276,pittcssa
881,5,3.00786046,pittcssa
882,20,2.88480557,pittcssa
883,12,3.550783341666667,pittcssa
884,7,3.667540414285714,pittcssa
885,13,2.9340249384615382,pittcssa
887,10,3.01520926,pittcssa
888,5,3.4957556,pittcssa
889,9,3.5400794999999996,pittcssa
890,7,3.203474714285714,pittcssa
891,21,3.4129617095238096,pittcssa
892,14,2.514513635714286,pittcssa
893,11,3.237264990909091,pittcssa
894,10,3.39748709,pittcssa
895,3,3.1588554999999996,pittcssa
896,3,4.130512633333333,pittcssa
897,6,2.772100033333334,pittcssa
