SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfFirstCodeSwitchedWord,AverageSurprisalOfSwitchPointWords,AaverageSurprisalOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
366,3,5.219099,6.522281,6.522281,5.4322755,1.597582,psucssa
367,6,3.5198093333333333,5.565155,5.565155,5.565155,2.5922835,psucssa
369,10,4.56868242,3.918144,3.918144,4.80442475,2.64691252,psucssa
370,5,4.6241224,4.938874,5.698722500000001,5.214613666666668,1.4953542,psucssa
372,7,4.241561285714286,2.7692,2.7692,3.7958084999999997,3.1570445714285715,psucssa
373,8,3.8984281249999997,4.47856,4.47856,4.47856,3.338608125,psucssa
374,8,3.8984281249999997,4.47856,4.47856,4.47856,3.338608125,psucssa
375,4,4.815962750000001,4.753237,4.753237,5.3598185,2.1360535,psucssa
379,5,4.7494982,6.41356,6.41356,3.8876440000000003,3.1944406,psucssa
380,9,4.0339125777777785,3.261233,3.261233,1.8000258,3.6339068444444447,psucssa
381,15,3.830170613333333,2.913393,2.913393,2.913393,3.635944413333333,psucssa
382,5,4.1422962,6.527233,6.527233,4.800067333333334,1.2622558,psucssa
383,7,4.699922857142857,3.699992,3.699992,3.9985494999999998,3.5574801428571425,psucssa
384,15,3.1376509466666667,5.787686,5.787686,3.782599,2.633304413333333,psucssa
386,18,3.667597766666666,4.829365,3.516944,4.26909211111111,1.533051711111111,psucssa
388,6,2.7783189833333335,5.551439,5.551439,5.551439,1.8530791500000001,psucssa
389,8,3.67369275,5.249036,5.249036,4.807857666666666,1.870746125,psucssa
390,2,5.636246,7.042348,7.042348,5.636246,0.0,psucssa
391,30,3.291539003333334,5.728327,5.022166,3.04774215,2.8851733833333335,psucssa
392,3,5.247341,4.728459,4.728459,4.607395,2.1757443333333333,psucssa
393,3,5.115358333333333,5.413785,5.413785,4.950058,1.8153196666666667,psucssa
394,16,3.5549654187500006,5.068004,4.286498666666667,3.8950311999999996,2.3377681687500003,psucssa
395,4,3.62400925,7.881351,7.881351,5.156942,1.04553825,psucssa
396,13,4.107302153846153,3.34985,3.34985,3.7494406,2.665209615384616,psucssa
398,26,3.3703886538461534,2.913393,2.913393,2.913393,3.2583350769230766,psucssa
